initial_samples sample height tube remaining_vol
32 31 0.5 1 134.0
32 32 0.5 1 114.0
33 1 10.4 1 756.0
33 2 10.03 1 736.0
33 3 9.65 1 716.0
33 4 9.28 1 696.0
33 5 8.9 1 676.0
33 6 8.53 1 656.0
33 7 8.16 1 636.0
33 8 7.78 1 616.0
33 9 7.41 1 596.0
33 10 7.03 1 576.0
33 11 6.66 1 556.0
33 12 6.29 1 536.0
33 13 5.91 1 516.0
33 14 5.54 1 496.0
33 15 5.16 1 476.0
33 16 4.79 1 456.0
33 17 4.41 1 436.0
33 18 4.04 1 416.0
33 19 3.67 1 396.0
33 20 3.29 1 376.0
33 21 2.92 1 356.0
33 22 2.54 1 336.0
33 23 2.17 1 316.0
33 24 1.8 1 296.0
33 25 1.42 1 276.0
33 26 1.05 1 256.0
33 27 0.67 1 236.0
33 28 0.5 1 216.0
33 29 0.5 1 196.0
33 30 0.5 1 176.0
33 31 0.5 1 156.0
33 32 0.5 1 136.0
33 33 0.5 1 116.0
34 1 10.81 1 778.0
34 2 10.44 1 758.0
34 3 10.06 1 738.0
34 4 9.69 1 718.0
34 5 9.32 1 698.0
34 6 8.94 1 678.0
34 7 8.57 1 658.0
34 8 8.19 1 638.0
34 9 7.82 1 618.0
34 10 7.45 1 598.0
34 11 7.07 1 578.0
34 12 6.7 1 558.0
34 13 6.32 1 538.0
34 14 5.95 1 518.0
34 15 5.57 1 498.0
34 16 5.2 1 478.0
34 17 4.83 1 458.0
34 18 4.45 1 438.0
34 19 4.08 1 418.0
34 20 3.7 1 398.0
34 21 3.33 1 378.0
34 22 2.96 1 358.0
34 23 2.58 1 338.0
34 24 2.21 1 318.0
34 25 1.83 1 298.0
34 26 1.46 1 278.0
34 27 1.09 1 258.0
34 28 0.71 1 238.0
34 29 0.5 1 218.0
34 30 0.5 1 198.0
34 31 0.5 1 178.0
34 32 0.5 1 158.0
34 33 0.5 1 138.0
34 34 0.5 1 118.0
35 1 11.22 1 800.0
35 2 10.85 1 780.0
35 3 10.48 1 760.0
35 4 10.1 1 740.0
35 5 9.73 1 720.0
35 6 9.35 1 700.0
35 7 8.98 1 680.0
35 8 8.61 1 660.0
35 9 8.23 1 640.0
35 10 7.86 1 620.0
35 11 7.48 1 600.0
35 12 7.11 1 580.0
35 13 6.73 1 560.0
35 14 6.36 1 540.0
35 15 5.99 1 520.0
35 16 5.61 1 500.0
35 17 5.24 1 480.0
35 18 4.86 1 460.0
35 19 4.49 1 440.0
35 20 4.12 1 420.0
35 21 3.74 1 400.0
