initial_samples sample height tube remaining_vol
29 3 9.88 1 578.0
29 4 9.5 1 558.0
29 5 9.13 1 538.0
29 6 8.75 1 518.0
29 7 8.38 1 498.0
29 8 8.01 1 478.0
29 9 7.63 1 458.0
29 10 7.26 1 438.0
29 11 6.88 1 418.0
29 12 6.51 1 398.0
29 13 6.14 1 378.0
29 14 5.76 1 358.0
29 15 5.39 1 338.0
29 16 5.01 1 318.0
29 17 4.64 1 298.0
29 18 4.27 1 278.0
29 19 3.89 1 258.0
29 20 3.52 1 238.0
29 21 3.14 1 218.0
29 22 2.77 1 198.0
29 23 2.39 1 178.0
29 24 2.02 1 158.0
29 25 1.65 1 138.0
29 26 1.27 1 118.0
29 27 0.9 1 98.0
29 28 0.52 1 78.0
29 29 0.5 1 58.0
30 1 11.04 1 640.0
30 2 10.66 1 620.0
30 3 10.29 1 600.0
30 4 9.91 1 580.0
30 5 9.54 1 560.0
30 6 9.17 1 540.0
30 7 8.79 1 520.0
30 8 8.42 1 500.0
30 9 8.04 1 480.0
30 10 7.67 1 460.0
30 11 7.3 1 440.0
30 12 6.92 1 420.0
30 13 6.55 1 400.0
30 14 6.17 1 380.0
30 15 5.8 1 360.0
30 16 5.43 1 340.0
30 17 5.05 1 320.0
30 18 4.68 1 300.0
30 19 4.3 1 280.0
30 20 3.93 1 260.0
30 21 3.55 1 240.0
30 22 3.18 1 220.0
30 23 2.81 1 200.0
30 24 2.43 1 180.0
30 25 2.06 1 160.0
30 26 1.68 1 140.0
30 27 1.31 1 120.0
30 28 0.94 1 100.0
30 29 0.56 1 80.0
30 30 0.5 1 60.0
31 1 11.45 1 662.0
31 2 11.07 1 642.0
31 3 10.7 1 622.0
31 4 10.33 1 602.0
31 5 9.95 1 582.0
31 6 9.58 1 562.0
31 7 9.2 1 542.0
31 8 8.83 1 522.0
31 9 8.46 1 502.0
31 10 8.08 1 482.0
31 11 7.71 1 462.0
31 12 7.33 1 442.0
31 13 6.96 1 422.0
31 14 6.58 1 402.0
31 15 6.21 1 382.0
31 16 5.84 1 362.0
31 17 5.46 1 342.0
31 18 5.09 1 322.0
31 19 4.71 1 302.0
31 20 4.34 1 282.0
31 21 3.97 1 262.0
31 22 3.59 1 242.0
31 23 3.22 1 222.0
31 24 2.84 1 202.0
31 25 2.47 1 182.0
31 26 2.1 1 162.0
31 27 1.72 1 142.0
31 28 1.35 1 122.0
31 29 0.97 1 102.0
31 30 0.6 1 82.0
31 31 0.5 1 62.0
32 1 11.86 1 684.0
32 2 11.49 1 664.0
32 3 11.11 1 644.0
32 4 10.74 1 624.0
32 5 10.36 1 604.0
32 6 9.99 1 584.0
32 7 9.62 1 564.0
32 8 9.24 1 544.0
32 9 8.87 1 524.0
32 10 8.49 1 504.0
32 11 8.12 1 484.0
32 12 7.74 1 464.0
32 13 7.37 1 444.0
32 14 7.0 1 424.0
32 15 6.62 1 404.0
32 16 6.25 1 384.0
32 17 5.87 1 364.0
32 18 5.5 1 344.0
32 19 5.13 1 324.0
32 20 4.75 1 304.0
32 21 4.38 1 284.0
32 22 4.0 1 264.0
32 23 3.63 1 244.0
32 24 3.26 1 224.0
32 25 2.88 1 204.0
32 26 2.51 1 184.0
32 27 2.13 1 164.0
32 28 1.76 1 144.0
32 29 1.38 1 124.0
32 30 1.01 1 104.0
32 31 0.64 1 84.0
32 32 0.5 1 64.0
33 1 12.27 1 706.0
33 2 11.9 1 686.0
33 3 11.52 1 666.0
33 4 11.15 1 646.0
33 5 10.78 1 626.0
33 6 10.4 1 606.0
33 7 10.03 1 586.0
33 8 9.65 1 566.0
33 9 9.28 1 546.0
33 10 8.9 1 526.0
33 11 8.53 1 506.0
33 12 8.16 1 486.0
33 13 7.78 1 466.0
33 14 7.41 1 446.0
33 15 7.03 1 426.0
33 16 6.66 1 406.0
33 17 6.29 1 386.0
33 18 5.91 1 366.0
33 19 5.54 1 346.0
33 20 5.16 1 326.0
33 21 4.79 1 306.0
33 22 4.41 1 286.0
33 23 4.04 1 266.0
33 24 3.67 1 246.0
33 25 3.29 1 226.0
33 26 2.92 1 206.0
33 27 2.54 1 186.0
33 28 2.17 1 166.0
33 29 1.8 1 146.0
33 30 1.42 1 126.0
33 31 1.05 1 106.0
33 32 0.67 1 86.0
33 33 0.5 1 66.0
34 1 12.68 1 728.0
34 2 12.31 1 708.0
34 3 11.94 1 688.0
34 4 11.56 1 668.0
34 5 11.19 1 648.0
34 6 10.81 1 628.0
34 7 10.44 1 608.0
34 8 10.06 1 588.0
34 9 9.69 1 568.0
34 10 9.32 1 548.0
34 11 8.94 1 528.0
34 12 8.57 1 508.0
34 13 8.19 1 488.0
34 14 7.82 1 468.0
34 15 7.45 1 448.0
34 16 7.07 1 428.0
34 17 6.7 1 408.0
34 18 6.32 1 388.0
34 19 5.95 1 368.0
34 20 5.57 1 348.0
34 21 5.2 1 328.0
34 22 4.83 1 308.0
34 23 4.45 1 288.0
34 24 4.08 1 268.0
34 25 3.7 1 248.0
34 26 3.33 1 228.0
34 27 2.96 1 208.0
34 28 2.58 1 188.0
34 29 2.21 1 168.0
34 30 1.83 1 148.0
34 31 1.46 1 128.0
34 32 1.09 1 108.0
34 33 0.71 1 88.0
34 34 0.5 1 68.0
35 1 13.09 1 750.0
35 2 12.72 1 730.0
35 3 12.35 1 710.0
35 4 11.97 1 690.0
35 5 11.6 1 670.0
35 6 11.22 1 650.0
35 7 10.85 1 630.0
35 8 10.48 1 610.0
35 9 10.1 1 590.0
35 10 9.73 1 570.0
35 11 9.35 1 550.0
35 12 8.98 1 530.0
35 13 8.61 1 510.0
35 14 8.23 1 490.0
35 15 7.86 1 470.0
35 16 7.48 1 450.0
35 17 7.11 1 430.0
35 18 6.73 1 410.0
35 19 6.36 1 390.0
35 20 5.99 1 370.0
35 21 5.61 1 350.0
35 22 5.24 1 330.0
35 23 4.86 1 310.0
35 24 4.49 1 290.0
35 25 4.12 1 270.0
35 26 3.74 1 250.0
35 27 3.37 1 230.0
35 28 2.99 1 210.0
35 29 2.62 1 190.0
35 30 2.24 1 170.0
35 31 1.87 1 150.0
35 32 1.5 1 130.0
35 33 1.12 1 110.0
35 34 0.75 1 90.0
35 35 0.5 1 70.0
36 1 13.51 1 772.0
36 2 13.13 1 752.0
36 3 12.76 1 732.0
36 4 12.38 1 712.0
36 5 12.01 1 692.0
36 6 11.64 1 672.0
36 7 11.26 1 652.0
36 8 10.89 1 632.0
36 9 10.51 1 612.0
36 10 10.14 1 592.0
36 11 9.77 1 572.0
36 12 9.39 1 552.0
36 13 9.02 1 532.0
36 14 8.64 1 512.0
36 15 8.27 1 492.0
36 16 7.89 1 472.0
36 17 7.52 1 452.0
36 18 7.15 1 432.0
36 19 6.77 1 412.0
36 20 6.4 1 392.0
36 21 6.02 1 372.0
36 22 5.65 1 352.0
36 23 5.28 1 332.0
36 24 4.9 1 312.0
36 25 4.53 1 292.0
36 26 4.15 1 272.0
36 27 3.78 1 252.0
36 28 3.4 1 232.0
36 29 3.03 1 212.0
36 30 2.66 1 192.0
36 31 2.28 1 172.0
36 32 1.91 1 152.0
36 33 1.53 1 132.0
36 34 1.16 1 112.0
36 35 0.79 1 92.0
36 36 0.5 1 72.0
37 1 13.92 1 794.0
37 2 13.54 1 774.0
37 3 13.17 1 754.0
37 4 12.8 1 734.0
37 5 12.42 1 714.0
37 6 12.05 1 694.0
37 7 11.67 1 674.0
37 8 11.3 1 654.0
37 9 10.92 1 634.0
37 10 10.55 1 614.0
37 11 10.18 1 594.0
37 12 9.8 1 574.0
37 13 9.43 1 554.0
37 14 9.05 1 534.0
37 15 8.68 1 514.0
37 16 8.31 1 494.0
37 17 7.93 1 474.0
37 18 7.56 1 454.0
37 19 7.18 1 434.0
37 20 6.81 1 414.0
37 21 6.44 1 394.0
37 22 6.06 1 374.0
37 23 5.69 1 354.0
37 24 5.31 1 334.0
37 25 4.94 1 314.0
37 26 4.56 1 294.0
37 27 4.19 1 274.0
37 28 3.82 1 254.0
37 29 3.44 1 234.0
37 30 3.07 1 214.0
37 31 2.69 1 194.0
37 32 2.32 1 174.0
37 33 1.95 1 154.0
37 34 1.57 1 134.0
37 35 1.2 1 114.0
37 36 0.82 1 94.0
37 37 0.5 1 74.0
38 1 14.33 1 816.0
38 2 13.96 1 796.0
38 3 13.58 1 776.0
38 4 13.21 1 756.0
38 5 12.83 1 736.0
38 6 12.46 1 716.0
38 7 12.08 1 696.0
38 8 11.71 1 676.0
38 9 11.34 1 656.0
38 10 10.96 1 636.0
38 11 10.59 1 616.0
38 12 10.21 1 596.0
38 13 9.84 1 576.0
38 14 9.47 1 556.0
38 15 9.09 1 536.0
38 16 8.72 1 516.0
38 17 8.34 1 496.0
38 18 7.97 1 476.0
38 19 7.6 1 456.0
38 20 7.22 1 436.0
38 21 6.85 1 416.0
38 22 6.47 1 396.0
38 23 6.1 1 376.0
38 24 5.72 1 356.0
38 25 5.35 1 336.0
38 26 4.98 1 316.0
38 27 4.6 1 296.0
38 28 4.23 1 276.0
38 29 3.85 1 256.0
38 30 3.48 1 236.0
38 31 3.11 1 216.0
38 32 2.73 1 196.0
38 33 2.36 1 176.0
38 34 1.98 1 156.0
38 35 1.61 1 136.0
38 36 1.23 1 116.0
38 37 0.86 1 96.0
38 38 0.5 1 76.0
39 1 14.74 1 838.0
39 2 14.37 1 818.0
39 3 13.99 1 798.0
39 4 13.62 1 778.0
39 5 13.24 1 758.0
39 6 12.87 1 738.0
39 7 12.5 1 718.0
39 8 12.12 1 698.0
39 9 11.75 1 678.0
39 10 11.37 1 658.0
39 11 11.0 1 638.0
39 12 10.63 1 618.0
39 13 10.25 1 598.0
